Kegg_ID	Pathway
K00463	Tryptophan6
K07130	Tryptophan6
K00486	Tryptophan6
K01556	Tryptophan6
K00452	Tryptophan6
K03392	Tryptophan6
K10217	Tryptophan6
K00453	Tryptophan1
K01432	Tryptophan1
K00486	Tryptophan1
K01556	Tryptophan1
K00452	Tryptophan1
K03392	Tryptophan1
K10217	Tryptophan1
K00453	Tryptophan2
K14263	Tryptophan2
K00486	Tryptophan2
K01556	Tryptophan2
K00452	Tryptophan2
K03392	Tryptophan2
K10217	Tryptophan2
K00453	Tryptophan3
K07130	Tryptophan3
K00486	Tryptophan3
K01556	Tryptophan3
K00452	Tryptophan3
K03392	Tryptophan3
K10217	Tryptophan3
K00463	Tryptophan4
K01432	Tryptophan4
K00486	Tryptophan4
K01556	Tryptophan4
K00452	Tryptophan4
K03392	Tryptophan4
K10217	Tryptophan4
K00463	Tryptophan5
K14263	Tryptophan5
K00486	Tryptophan5
K01556	Tryptophan5
K00452	Tryptophan5
K03392	Tryptophan5
K10217	Tryptophan5
K00392	Assimilatory_Sulfate_Reduction
K00390	Assimilatory_Sulfate_Reduction
K00860	Assimilatory_Sulfate_Reduction
K13811	Assimilatory_Sulfate_Reduction
K00958	Assimilatory_Sulfate_Reduction
K00955	Assimilatory_Sulfate_Reduction
K00957	Assimilatory_Sulfate_Reduction
K00956	Assimilatory_Sulfate_Reduction
K00380	Assimilatory_Sulfate_Reduction
K00381	Assimilatory_Sulfate_Reduction
K08738	Dissimilatory_sulfate_reduction
K00543	Melatonin_Biosynthesis
K01593	Melatonin_Biosynthesis
K00395	Thiosulfate_Oxidation
K00394	Thiosulfate_Oxidation
K11180	Thiosulfate_Oxidation
K11181	Thiosulfate_Oxidation
K00958	Thiosulfate_Oxidation
K00957	Thiosulfate_Oxidation
K00956	Thiosulfate_Oxidation
K07130	Tryptophan_Metabolism
K00463	Tryptophan_Metabolism
K03392	Tryptophan_Metabolism
K01556	Tryptophan_Metabolism
K00486	Tryptophan_Metabolism
K00452	Tryptophan_Metabolism
K00453	Tryptophan_Metabolism
K10217	Tryptophan_Metabolism
K01432	Tryptophan_Metabolism
K04116	Benzoate_Degradation
K04117	Benzoate_Degradation
K07534	Benzoate_Degradation
K07535	Benzoate_Degradation
K07536	Benzoate_Degradation
K04112	Benzoate_Degradation
K04113	Benzoate_Degradation
K04114	Benzoate_Degradation
K04115	Benzoate_Degradation
K07537	Benzoate_Degradation
K07538	Benzoate_Degradation
K07539	Benzoate_Degradation
K03268	Benzoate_Degradation
K16286	Benzoate_Degradation
K18090	Benzoate_Degradation
K16269	Benzoate_Degradation
K16249	Benzoate_Degradation
K16243	Benzoate_Degradation
K16242	Benzoate_Degradation
K16245	Benzoate_Degradation
K16246	Benzoate_Degradation
K05549	Benzoate_Degradation
K05550	Benzoate_Degradation
K05784	Benzoate_Degradation
K05783	Benzoate_Degradation
K03381	Benzoate_Degradation
K01856	Benzoate_Degradation
K03464	Benzoate_Degradation
K01055	Benzoate_Degradation
K14727	Benzoate_Degradation
K00446	Benzoate_Degradation
K07104	Benzoate_Degradation
K10217	Benzoate_Degradation
K01821	Benzoate_Degradation
K01617	Benzoate_Degradation
K10216	Benzoate_Degradation
K18364	Benzoate_Degradation
K02554	Benzoate_Degradation
K18365	Benzoate_Degradation
K01666	Benzoate_Degradation
K18366	Benzoate_Degradation
K04073	Benzoate_Degradation
K02744	Galactose_Metabolism
K02745	Galactose_Metabolism
K02746	Galactose_Metabolism
K02747	Galactose_Metabolism
K02773	Galactose_Metabolism
K02774	Galactose_Metabolism
K02775	Galactose_Metabolism
K02786	Galactose_Metabolism
K02787	Galactose_Metabolism
K02788	Galactose_Metabolism
K02744	Galactose_Metabolism
K10984	Galactose_Metabolism
K10985	Galactose_Metabolism
K10986	Galactose_Metabolism
K05308	Galactose_Metabolism
K11395	Galactose_Metabolism
K18127	Galactose_Metabolism
K18020	Galactose_Metabolism
K18021	Galactose_Metabolism
K18022	Galactose_Metabolism
K18128	Galactose_Metabolism
K03738	Galactose_Metabolism
K01684	Galactose_Metabolism
K00883	Galactose_Metabolism
K01631	Galactose_Metabolism
K00134	Galactose_Metabolism
K00927	Galactose_Metabolism
K00849	Galactose_Metabolism
K00965	Galactose_Metabolism
K01785	Galactose_Metabolism
K00849	Galactose_Metabolism
K00965	Galactose_Metabolism
K01784	Galactose_Metabolism
K05308	Galactose_Metabolism
K18126	Galactose_Metabolism
K11395	Galactose_Metabolism
K00131	Galactose_Metabolism
K18978	Galactose_Metabolism
K11204	Glutathione_Metabolism
K11205	Glutathione_Metabolism
K01920	Glutathione_Metabolism
K02777	Starch_Metabolism
K02790	Starch_Metabolism
K02791	Starch_Metabolism
k02808	Starch_Metabolism
K02809	Starch_Metabolism
K02810	Starch_Metabolism
K02817	Starch_Metabolism
k02818	Starch_Metabolism
K02819	Starch_Metabolism
K00975	Starch_Metabolism
K00703	Starch_Metabolism
K16148	Starch_Metabolism
K00700	Starch_Metabolism
K16149	Starch_Metabolism
K00688	Starch_Metabolism
K16153	Starch_Metabolism
K02438	Starch_Metabolism
K06044	Starch_Metabolism
K01236	Starch_Metabolism
